marital,education,housing,loan,age,balance,duration
1,2,1,0,55,874,314
1,1,1,0,43,0,129
1,1,1,0,35,1,246
1,2,0,0,32,927,282
1,1,1,0,56,388,80
1,2,1,0,36,162,75
1,1,0,0,66,4041,713
1,0,0,1,48,14,120
0,1,0,0,36,8,115
1,2,1,0,36,86,104
1,1,1,1,36,6384,97
0,1,1,0,25,963,230
0,1,0,0,38,10,84
1,1,0,0,58,2609,136
1,2,1,0,34,842,141
1,2,0,0,55,625,88
0,2,0,0,29,268,667
1,2,1,0,35,957,263
0,1,0,1,29,-20,574
2,0,1,0,45,413,65
1,0,0,0,39,4899,394
1,0,1,0,39,5,167
1,2,0,0,35,0,74
1,1,1,0,33,7,612
1,1,1,0,53,2052,286
1,1,1,0,30,2678,23
1,1,1,0,42,473,216
1,1,1,0,54,1134,1330
1,0,1,1,30,5956,405
1,1,0,0,39,0,224
1,2,0,0,50,0,37
0,2,1,0,27,3083,244
1,1,1,0,36,419,291
0,2,0,0,24,368,197
1,2,0,0,33,980,170
1,0,0,0,47,4157,90
1,2,0,0,61,5267,226
1,2,1,1,43,1,61
1,1,0,0,46,942,425
2,0,0,0,44,757,498
1,2,1,0,50,332,68
1,1,1,0,35,1417,65
0,2,0,0,41,1253,1134
2,2,0,0,29,444,54
0,0,1,0,38,522,156
1,2,1,0,41,0,285
1,0,1,0,49,953,278
1,1,1,0,35,514,247
0,2,0,0,32,1855,126
1,0,1,0,30,95,220
0,2,1,0,29,36252,501
0,1,1,1,35,2471,136
1,2,0,0,27,-23,123
1,0,0,0,47,469,208
1,2,0,0,37,355,340
0,2,0,0,33,576,220
1,1,1,0,51,3003,149
1,0,1,0,54,2102,76
1,0,1,0,44,177,197
0,1,0,0,36,1102,236
1,1,1,0,46,1568,310
1,1,1,0,43,373,54
1,1,0,0,45,240,181
1,2,0,0,58,3342,344
1,2,0,0,34,5665,72
0,1,1,0,24,82,204
0,1,1,0,30,163,72
0,1,0,1,31,35,229
0,2,0,0,25,808,267
2,1,1,0,57,3058,268
2,2,1,0,49,1807,229
1,0,1,0,30,3,147
0,1,0,0,25,425,100
1,1,1,0,44,508,158
1,2,1,0,34,520,1307
0,2,1,0,35,0,411
1,2,1,0,58,8014,697
0,1,1,0,52,201,412
1,1,1,0,39,3471,113
1,1,0,1,49,1684,412
1,1,0,1,47,1144,324
2,2,1,1,51,-256,97
1,1,1,0,32,210,308
2,0,1,0,45,749,242
1,2,1,0,35,24,243
2,2,1,0,44,1070,137
1,1,0,0,55,-480,538
1,1,1,0,54,506,126
2,0,1,0,36,0,97
0,1,0,0,28,459,83
1,1,0,0,52,424,143
1,1,0,1,43,184,1019
0,1,0,0,33,15341,335
1,1,1,0,33,-53,172
1,0,1,0,48,0,107
1,1,0,0,50,-195,119
0,1,0,0,50,3702,109
1,1,0,0,47,487,218
1,2,1,0,42,199,497
1,1,1,0,53,1066,57
2,2,1,0,43,9,89
1,1,0,0,59,1226,270
1,0,0,0,51,1495,1946
1,2,0,0,47,699,432
1,1,1,0,57,1504,52
1,1,0,1,33,0,224
0,1,0,0,33,199,178
1,0,1,0,57,318,206
1,0,1,0,32,1287,297
1,2,1,0,33,603,265
1,2,1,0,32,913,883
0,2,0,0,34,84,231
0,1,1,0,36,62,215
1,1,0,0,49,3620,346
1,0,1,0,51,3942,363
0,1,1,0,32,-1139,201
0,1,1,0,38,100,786
1,2,1,1,30,1036,82
2,0,0,1,36,715,128
0,1,1,0,26,2784,264
1,1,1,0,49,294,230
1,2,1,0,39,11766,313
1,1,1,1,34,1710,187
1,1,0,0,37,480,344
2,1,1,1,32,107,120
1,2,0,0,52,4675,181
1,2,1,1,61,0,158
1,1,0,0,32,1568,161
1,1,1,1,39,2381,91
1,1,1,0,36,-323,118
0,1,1,0,28,2290,2301
1,1,1,0,49,1623,1081
1,0,0,0,65,1760,855
1,2,1,1,34,1636,136
2,1,0,0,49,630,415
2,2,0,0,46,0,1199
2,0,0,1,53,-24,319
0,2,0,0,33,7084,512
1,1,1,1,49,1127,579
1,2,1,0,49,3840,146
0,2,0,0,45,1411,800
1,1,1,0,38,1960,161
0,1,1,0,29,2891,293
0,2,0,0,39,410,266
1,1,0,1,41,-140,190
1,0,1,0,40,117,172
1,2,1,0,30,265,45
0,1,1,0,34,94,541
2,1,1,0,55,538,353
0,2,0,0,26,170,160
1,0,1,0,50,0,503
0,1,1,0,43,277,315
1,0,0,0,55,1212,241
2,1,0,0,42,12584,21
1,0,1,0,59,-91,239
1,0,0,0,59,1245,205
2,2,1,0,38,304,8
0,2,0,0,30,371,170
2,1,0,0,30,891,340
1,2,1,1,41,832,164
2,2,1,0,34,-401,378
0,2,0,0,26,1153,238
1,2,1,0,35,108,65
0,2,0,0,28,118,85
0,1,1,0,33,338,105
0,2,0,0,32,1613,253
1,0,1,1,38,3,124
1,0,1,0,35,2732,254
1,1,1,0,36,644,54
1,2,0,0,57,113,191
0,2,0,0,26,1393,194
1,0,1,0,43,1288,136
1,1,1,0,40,504,96
1,0,1,0,45,300,203
2,2,1,0,35,321,189
1,1,1,0,47,2128,98
1,1,1,0,54,1826,264
0,1,0,0,32,1473,253
0,1,0,0,58,311,248
1,1,0,0,37,86,1424
1,0,0,0,35,1994,64
1,1,0,0,51,117,442
0,1,0,1,31,13,1019
1,1,0,0,55,377,403
1,2,0,0,45,1433,117
0,2,0,0,27,5741,368
1,1,1,0,38,384,1906
1,0,0,0,47,320,203
1,1,1,0,54,1182,118
1,2,1,1,25,3,690
1,2,1,0,33,2976,465
1,2,0,0,48,310,135
1,0,0,0,65,1343,468
1,0,0,0,53,1086,112
1,1,1,0,41,-76,263
0,0,1,0,23,93,70
2,2,0,0,45,959,74
0,1,0,1,47,-504,108
1,2,1,0,38,-121,288
1,0,0,0,38,1807,348
2,2,0,0,41,252,57
1,1,1,0,37,629,255
1,2,1,0,57,0,67
1,2,0,0,30,4328,262
0,1,1,0,34,558,43
0,2,1,0,40,-222,291
1,2,1,0,35,0,4
1,1,1,1,27,-247,344
1,0,1,0,47,2793,102
2,2,1,0,46,2166,870
2,2,1,0,39,355,313
1,1,1,0,24,4500,733
1,1,0,0,47,1449,322
2,2,0,0,53,15,76
1,1,0,0,57,999,68
2,1,1,0,32,-107,216
1,1,0,0,49,0,551
1,0,1,0,40,2502,205
0,1,1,0,44,3684,31
0,2,0,0,44,10,158
1,1,0,0,36,2153,181
1,2,1,1,38,1187,157
1,1,1,0,31,2,371
1,2,0,0,34,611,350
0,2,1,0,47,153,192
0,1,1,0,49,-18,217
1,1,0,0,39,254,292
0,1,1,1,36,101,314
1,0,0,0,60,0,442
1,2,1,0,39,200,166
0,1,1,0,30,3809,159
1,1,0,0,40,4775,215
1,2,0,0,31,22,122
1,0,0,0,58,0,168
1,1,1,0,37,0,906
2,0,1,1,47,603,1080
1,1,1,0,34,240,260
1,2,0,0,58,9683,857
1,1,1,0,44,438,42
1,1,1,0,53,2,851
2,1,0,0,36,-11,152
1,1,0,0,59,106,186
1,1,1,0,37,342,340
0,1,1,0,34,0,66
1,2,0,0,37,1852,117
0,2,1,0,60,305,137
0,2,1,0,37,-487,358
1,1,0,0,61,272,318
1,2,1,0,45,43,184
1,2,1,0,36,1790,132
1,1,1,1,52,782,104
1,2,0,0,55,804,245
1,2,1,1,33,1,551
1,1,1,0,41,2399,607
1,1,0,0,59,278,141
1,1,1,0,36,1319,264
0,1,1,0,42,900,6
0,1,0,0,27,538,170
0,1,1,0,56,1854,45
0,1,0,0,30,411,115
0,0,1,1,27,528,267
1,1,1,0,39,9374,273
1,2,1,1,35,221,142
1,1,0,0,52,1815,131
1,0,0,0,50,0,199
1,1,1,0,46,668,1263
1,1,1,0,40,598,90
1,2,1,1,36,0,119
1,1,1,0,52,-332,70
0,0,1,0,30,79,317
1,1,1,0,55,-208,148
1,2,0,0,34,4859,262
2,1,1,0,43,0,125
1,1,1,0,44,794,342
1,2,1,1,41,-195,52
2,1,0,0,50,32,282
0,1,1,0,35,0,371
1,2,1,0,47,109,268
2,1,1,0,32,-299,192
2,1,1,0,27,10,527
1,2,0,0,43,21510,248
0,2,1,0,34,886,104
1,0,0,0,53,2096,104
1,2,0,0,60,225,54
0,1,1,0,35,951,163
1,1,1,0,38,680,144
0,1,0,0,32,116,392
1,1,0,0,58,255,362
0,2,1,0,32,932,944
1,2,0,0,36,3057,2769
1,2,0,0,37,2283,243
1,1,0,0,35,1,215
1,0,1,1,46,-339,182
1,1,0,0,50,-1415,358
1,2,0,1,32,3158,142
1,0,1,0,42,-417,81
1,2,0,0,32,322,101
1,2,0,0,50,0,26
0,1,0,0,37,1981,140
1,0,0,0,43,-41,8
0,2,1,0,32,0,415
1,2,0,0,40,642,147
1,0,0,0,61,368,62
1,1,1,0,32,687,61
1,2,0,0,41,-456,427
0,1,1,0,34,105,303
2,1,1,0,32,-613,266
0,1,1,0,34,1091,252
1,0,1,0,38,113,27
2,1,1,0,43,898,405
0,1,1,0,32,1274,239
1,2,0,0,40,572,133
1,1,0,0,60,0,105
1,1,0,0,30,-189,105
0,1,1,1,36,0,109
0,2,1,1,33,327,562
1,1,1,1,42,-355,939
1,1,0,0,37,63,434
0,1,1,0,27,343,282
1,2,0,0,31,1126,20
1,1,1,0,43,500,324
1,1,0,0,47,293,499
1,1,1,0,55,566,107
1,2,0,0,36,387,327
0,2,1,0,31,-701,42
1,1,1,1,44,860,96
1,2,0,0,35,16,185
0,1,0,0,50,642,435
1,2,1,0,49,488,110
1,2,1,0,32,357,133
1,1,1,0,24,0,154
1,2,1,0,48,20718,125
2,1,0,0,52,6,156
1,1,0,1,47,93,194
1,2,1,0,32,284,717
1,2,0,0,59,10360,37
1,2,1,0,36,1198,278
1,2,0,0,58,1697,55
1,2,0,0,32,0,15
1,1,0,0,45,4068,314
2,2,0,0,36,59,526
0,1,0,0,31,3511,667
0,2,1,0,32,257,183
1,1,1,0,41,2067,120
0,0,1,0,49,655,32
2,1,1,0,44,272,219
0,1,0,1,25,281,173
1,1,1,0,33,137,136
0,1,1,0,34,13683,115
1,0,1,0,44,622,66
0,1,0,1,28,-221,1090
1,1,1,0,34,-1725,452
1,0,0,0,49,365,59
1,1,1,1,36,1412,226
0,2,1,0,34,2835,107
0,1,0,0,20,53,203
2,2,0,0,54,726,246
0,1,0,0,19,394,327
1,1,0,1,31,0,208
2,2,1,0,31,0,953
1,2,1,0,32,913,278
0,2,1,0,36,1027,151
1,2,0,0,41,6961,235
1,2,0,0,45,5110,341
0,1,1,0,30,0,40
1,0,1,1,36,356,692
2,1,1,0,37,1533,555
1,0,1,0,34,2798,297
1,1,0,0,37,306,73
1,0,0,0,39,4166,314
1,2,0,0,37,7620,164
1,2,0,0,36,495,157
0,1,1,1,35,-295,173
1,1,0,0,52,1319,37
0,1,1,0,36,1898,243
1,0,0,0,60,1906,79
1,1,1,0,55,1268,223
2,1,1,0,36,437,722
2,2,0,0,48,375,212
1,1,1,0,32,36,116
1,0,1,0,30,-171,125
0,1,1,1,31,-806,205
1,1,0,0,51,2918,193
1,0,1,0,53,10,73
1,2,1,0,36,1145,198
2,2,0,0,59,39,67
2,1,1,0,59,5583,720
2,1,0,0,49,57,396
1,1,0,0,60,0,359
0,1,1,0,60,-14,121
2,0,1,0,57,515,288
1,1,1,0,33,310,172
1,1,1,1,49,272,108
1,1,1,0,58,1075,42
0,2,0,0,42,634,451
0,2,1,0,54,3294,132
